"region";"nivå";"kjønn";"år";"statistikkvariabel";"09429: Personer 16 år og over, etter region, nivå, kjønn, år og statistikkvariabel"
"3043 Ål (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2021";"Personer 16 år og over";1917
"3043 Ål (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2022";"Personer 16 år og over";1957
"3043 Ål (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2023";"Personer 16 år og over";2045
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";893
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";898
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";892
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";929
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";417
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";422
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";430
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";440
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2020";"Personer 16 år og over";476
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2021";"Personer 16 år og over";476
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2022";"Personer 16 år og over";462
"3043 Ål (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2023";"Personer 16 år og over";489
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";1792
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";1792
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";1815
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";1835
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2020";"Personer 16 år og over";835
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2021";"Personer 16 år og over";834
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2022";"Personer 16 år og over";824
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2023";"Personer 16 år og over";845
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2020";"Personer 16 år og over";957
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2021";"Personer 16 år og over";958
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2022";"Personer 16 år og over";991
"3043 Ål (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2023";"Personer 16 år og over";990
"3043 Ål (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";115
"3043 Ål (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";121
"3043 Ål (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";126
"3043 Ål (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";133
"3043 Ål (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";45
"3043 Ål (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";48
"3043 Ål (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";52
"3043 Ål (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";51
"3043 Ål (2020-2023)";"11 Fagskolenivå";"1 Menn";"2020";"Personer 16 år og over";70
"3043 Ål (2020-2023)";"11 Fagskolenivå";"1 Menn";"2021";"Personer 16 år og over";73
"3043 Ål (2020-2023)";"11 Fagskolenivå";"1 Menn";"2022";"Personer 16 år og over";74
"3043 Ål (2020-2023)";"11 Fagskolenivå";"1 Menn";"2023";"Personer 16 år og over";82
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2020";"Personer 16 år og over";833
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2021";"Personer 16 år og over";850
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2022";"Personer 16 år og over";879
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2023";"Personer 16 år og over";945
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2020";"Personer 16 år og over";541
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2021";"Personer 16 år og over";551
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2022";"Personer 16 år og over";574
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2023";"Personer 16 år og over";605
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2020";"Personer 16 år og over";292
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2021";"Personer 16 år og over";299
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2022";"Personer 16 år og over";305
"3043 Ål (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2023";"Personer 16 år og over";340
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2020";"Personer 16 år og over";221
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2021";"Personer 16 år og over";217
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2022";"Personer 16 år og over";256
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2023";"Personer 16 år og over";286
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2020";"Personer 16 år og over";112
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2021";"Personer 16 år og over";117
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2022";"Personer 16 år og over";138
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2023";"Personer 16 år og over";151
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2020";"Personer 16 år og over";109
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2021";"Personer 16 år og over";100
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2022";"Personer 16 år og over";118
"3043 Ål (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2023";"Personer 16 år og over";135
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2020";"Personer 16 år og over";17
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2021";"Personer 16 år og over";20
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2022";"Personer 16 år og over";17
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2023";"Personer 16 år og over";18
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2020";"Personer 16 år og over";8
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2021";"Personer 16 år og over";9
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2022";"Personer 16 år og over";10
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2023";"Personer 16 år og over";9
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2020";"Personer 16 år og over";9
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2021";"Personer 16 år og over";11
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2022";"Personer 16 år og over";7
"3043 Ål (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2023";"Personer 16 år og over";9
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2020";"Personer 16 år og over";3785
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2021";"Personer 16 år og over";3840
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2022";"Personer 16 år og over";3858
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2023";"Personer 16 år og over";3859
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2020";"Personer 16 år og over";1887
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2021";"Personer 16 år og over";1902
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2022";"Personer 16 år og over";1919
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2023";"Personer 16 år og over";1918
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2020";"Personer 16 år og over";1898
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2021";"Personer 16 år og over";1938
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2022";"Personer 16 år og over";1939
"3044 Hol (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2023";"Personer 16 år og over";1941
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";967
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";947
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";939
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";922
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";448
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";426
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";422
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";438
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2020";"Personer 16 år og over";519
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2021";"Personer 16 år og over";521
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2022";"Personer 16 år og over";517
"3044 Hol (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2023";"Personer 16 år og over";484
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";1681
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";1711
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";1702
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";1696
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2020";"Personer 16 år og over";792
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2021";"Personer 16 år og over";794
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2022";"Personer 16 år og over";788
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2023";"Personer 16 år og over";774
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2020";"Personer 16 år og over";889
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2021";"Personer 16 år og over";917
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2022";"Personer 16 år og over";914
"3044 Hol (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2023";"Personer 16 år og over";922
"3044 Hol (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";101
"3044 Hol (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";102
"3044 Hol (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";110
"3044 Hol (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";111
"3044 Hol (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";43
"3044 Hol (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";41
"3044 Hol (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";45
"3044 Hol (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";43
"3044 Hol (2020-2023)";"11 Fagskolenivå";"1 Menn";"2020";"Personer 16 år og over";58
"3044 Hol (2020-2023)";"11 Fagskolenivå";"1 Menn";"2021";"Personer 16 år og over";61
"3044 Hol (2020-2023)";"11 Fagskolenivå";"1 Menn";"2022";"Personer 16 år og over";65
"3044 Hol (2020-2023)";"11 Fagskolenivå";"1 Menn";"2023";"Personer 16 år og over";68
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2020";"Personer 16 år og over";797
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2021";"Personer 16 år og over";835
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2022";"Personer 16 år og over";844
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2023";"Personer 16 år og over";859
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2020";"Personer 16 år og over";493
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2021";"Personer 16 år og over";519
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2022";"Personer 16 år og over";530
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2023";"Personer 16 år og over";529
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2020";"Personer 16 år og over";304
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2021";"Personer 16 år og over";316
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2022";"Personer 16 år og over";314
"3044 Hol (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2023";"Personer 16 år og over";330
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2020";"Personer 16 år og over";215
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2021";"Personer 16 år og over";220
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2022";"Personer 16 år og over";236
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2023";"Personer 16 år og over";252
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2020";"Personer 16 år og over";102
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2021";"Personer 16 år og over";114
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2022";"Personer 16 år og over";123
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2023";"Personer 16 år og over";127
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2020";"Personer 16 år og over";113
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2021";"Personer 16 år og over";106
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2022";"Personer 16 år og over";113
"3044 Hol (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2023";"Personer 16 år og over";125
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2020";"Personer 16 år og over";24
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2021";"Personer 16 år og over";25
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2022";"Personer 16 år og over";27
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2023";"Personer 16 år og over";19
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2020";"Personer 16 år og over";9
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2021";"Personer 16 år og over";8
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2022";"Personer 16 år og over";11
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2023";"Personer 16 år og over";7
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2020";"Personer 16 år og over";15
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2021";"Personer 16 år og over";17
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2022";"Personer 16 år og over";16
"3044 Hol (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2023";"Personer 16 år og over";12
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2020";"Personer 16 år og over";2926
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2021";"Personer 16 år og over";2957
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2022";"Personer 16 år og over";2981
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2023";"Personer 16 år og over";3019
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2020";"Personer 16 år og over";1419
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2021";"Personer 16 år og over";1419
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2022";"Personer 16 år og over";1431
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2023";"Personer 16 år og over";1458
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2020";"Personer 16 år og over";1507
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2021";"Personer 16 år og over";1538
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2022";"Personer 16 år og over";1550
"3045 Sigdal (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2023";"Personer 16 år og over";1561
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";905
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";895
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";909
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";894
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";393
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";388
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";391
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";395
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2020";"Personer 16 år og over";512
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2021";"Personer 16 år og over";507
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2022";"Personer 16 år og over";518
"3045 Sigdal (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2023";"Personer 16 år og over";499
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";1394
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";1418
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";1415
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";1412
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2020";"Personer 16 år og over";637
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2021";"Personer 16 år og over";632
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2022";"Personer 16 år og over";625
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2023";"Personer 16 år og over";611
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2020";"Personer 16 år og over";757
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2021";"Personer 16 år og over";786
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2022";"Personer 16 år og over";790
"3045 Sigdal (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2023";"Personer 16 år og over";801
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";83
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";89
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";92
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";92
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";27
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";29
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";33
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";32
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"1 Menn";"2020";"Personer 16 år og over";56
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"1 Menn";"2021";"Personer 16 år og over";60
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"1 Menn";"2022";"Personer 16 år og over";59
"3045 Sigdal (2020-2023)";"11 Fagskolenivå";"1 Menn";"2023";"Personer 16 år og over";60
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2020";"Personer 16 år og over";426
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2021";"Personer 16 år og over";434
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2022";"Personer 16 år og over";436
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2023";"Personer 16 år og over";465
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2020";"Personer 16 år og over";302
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2021";"Personer 16 år og over";309
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2022";"Personer 16 år og over";314
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2023";"Personer 16 år og over";332
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2020";"Personer 16 år og over";124
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2021";"Personer 16 år og over";125
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2022";"Personer 16 år og over";122
"3045 Sigdal (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2023";"Personer 16 år og over";133
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2020";"Personer 16 år og over";107
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2021";"Personer 16 år og over";109
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2022";"Personer 16 år og over";115
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2023";"Personer 16 år og over";143
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2020";"Personer 16 år og over";57
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2021";"Personer 16 år og over";57
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2022";"Personer 16 år og over";63
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2023";"Personer 16 år og over";85
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2020";"Personer 16 år og over";50
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2021";"Personer 16 år og over";52
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2022";"Personer 16 år og over";52
"3045 Sigdal (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2023";"Personer 16 år og over";58
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2020";"Personer 16 år og over";11
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2021";"Personer 16 år og over";12
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2022";"Personer 16 år og over";14
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2023";"Personer 16 år og over";13
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2020";"Personer 16 år og over";3
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2021";"Personer 16 år og over";4
"3045 Sigdal (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2022";"Personer 16 år og over";5
