"region";"nivå";"kjønn";"år";"statistikkvariabel";"09429: Personer 16 år og over, etter region, nivå, kjønn, år og statistikkvariabel"
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2021";"Personer 16 år og over";5919
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2022";"Personer 16 år og over";6103
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2023";"Personer 16 år og over";6205
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2020";"Personer 16 år og over";3435
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2021";"Personer 16 år og over";3516
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2022";"Personer 16 år og over";3618
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2023";"Personer 16 år og over";3656
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2020";"Personer 16 år og over";2365
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2021";"Personer 16 år og over";2403
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2022";"Personer 16 år og over";2485
"3001 Halden (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2023";"Personer 16 år og over";2549
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2020";"Personer 16 år og over";1565
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2021";"Personer 16 år og over";1622
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2022";"Personer 16 år og over";1740
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"0 Begge kjønn";"2023";"Personer 16 år og over";1829
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2020";"Personer 16 år og over";690
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2021";"Personer 16 år og over";723
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2022";"Personer 16 år og over";802
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"2 Kvinner";"2023";"Personer 16 år og over";863
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2020";"Personer 16 år og over";875
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2021";"Personer 16 år og over";899
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2022";"Personer 16 år og over";938
"3001 Halden (2020-2023)";"04a Universitets- og høgskolenivå, lang";"1 Menn";"2023";"Personer 16 år og over";966
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2020";"Personer 16 år og over";157
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2021";"Personer 16 år og over";147
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2022";"Personer 16 år og over";149
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"0 Begge kjønn";"2023";"Personer 16 år og over";140
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2020";"Personer 16 år og over";90
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2021";"Personer 16 år og over";80
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2022";"Personer 16 år og over";84
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"2 Kvinner";"2023";"Personer 16 år og over";85
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2020";"Personer 16 år og over";67
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2021";"Personer 16 år og over";67
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2022";"Personer 16 år og over";65
"3001 Halden (2020-2023)";"09a Uoppgitt eller ingen fullført utdanning";"1 Menn";"2023";"Personer 16 år og over";55
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2020";"Personer 16 år og over";41145
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2021";"Personer 16 år og over";41662
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2022";"Personer 16 år og over";42524
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"0 Begge kjønn";"2023";"Personer 16 år og over";43361
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2020";"Personer 16 år og over";20785
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2021";"Personer 16 år og over";21067
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2022";"Personer 16 år og over";21535
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"2 Kvinner";"2023";"Personer 16 år og over";21922
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2020";"Personer 16 år og over";20360
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2021";"Personer 16 år og over";20595
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2022";"Personer 16 år og over";20989
"3002 Moss (2020-2023)";"00 Utdanningsnivå i alt";"1 Menn";"2023";"Personer 16 år og over";21439
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";11542
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";11469
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";11520
