Dato;Nedbør m.m.pr døgn
22.11.2015;0
23.11.2015;0
24.11.2015;2,5
25.11.2015;7,4
26.11.2015;0
27.11.2015;0
28.11.2015;10,4
29.11.2015;7,6
30.11.2015;1,9
01.12.2015;0
02.12.2015;0
03.12.2015;1
04.12.2015;10,2
05.12.2015;10,8
06.12.2015;0
07.12.2015;0
08.12.2015;0
09.12.2015;3,2
10.12.2015;0,2
11.12.2015;0
12.12.2015;0
13.12.2015;0
14.12.2015;0
15.12.2015;0,1
16.12.2015;0
17.12.2015;3,8
18.12.2015;3,4
19.12.2015;0
20.12.2015;1,6
21.12.2015;0,1
22.12.2015;0
23.12.2015;4,1
24.12.2015;0
25.12.2015;2
26.12.2015;0
27.12.2015;0
28.12.2015;1,7
29.12.2015;0
30.12.2015;0,5
31.12.2015;3,5
01.01.2016;4,3
02.01.2016;5
03.01.2016;0
04.01.2016;0
05.01.2016;0
06.01.2016;0
07.01.2016;0
08.01.2016;0,2
09.01.2016;0
10.01.2016;1,2
11.01.2016;6,8
12.01.2016;0,9
13.01.2016;0
14.01.2016;0
15.01.2016;0
16.01.2016;1,4
17.01.2016;0,2
18.01.2016;0
19.01.2016;0
20.01.2016;0
21.01.2016;0
22.01.2016;0
23.01.2016;1,8
24.01.2016;0,3
25.01.2016;0,1
26.01.2016;0,3
27.01.2016;1
28.01.2016;7,6
29.01.2016;0
30.01.2016;1,4
31.01.2016;0
01.02.2016;0
02.02.2016;1,7
03.02.2016;0,7
04.02.2016;0
05.02.2016;0
06.02.2016;4,6
07.02.2016;4,3
08.02.2016;3,6
09.02.2016;20,3
10.02.2016;0,3
11.02.2016;0
12.02.2016;0
13.02.2016;0
14.02.2016;0
15.02.2016;0
16.02.2016;0
17.02.2016;0
18.02.2016;0
19.02.2016;0
20.02.2016;3
21.02.2016;7,5
22.02.2016;0
23.02.2016;0
24.02.2016;0
25.02.2016;0
26.02.2016;0
27.02.2016;0
28.02.2016;0
29.02.2016;0
01.03.2016;0
02.03.2016;1,1
03.03.2016;2,1
04.03.2016;3,4
05.03.2016;5,5
06.03.2016;0
07.03.2016;0,2
08.03.2016;0
09.03.2016;0
10.03.2016;0,2
11.03.2016;0
12.03.2016;0
13.03.2016;0
14.03.2016;0,4
15.03.2016;0
16.03.2016;0
17.03.2016;0
18.03.2016;0
19.03.2016;0
20.03.2016;0
21.03.2016;0
